stimulus;picture_number;SOA;target;target_position;set;saliency;response;resp_code;RT
congruent;21;200;Z;right;semantic;control;correct;11;494,7
incongruent;41;200;Z;bottom;semantic;salient;correct;11;463,6
incongruent;02;200;Z;top;semantic;salient;correct;11;477,6
congruent;10;100;Z;right;semantic;control;correct;11;428
congruent;50;300;Z;right;semantic;control;correct;11;405,5
congruent;41;300;Z;bottom;semantic;control;correct;11;391,6
incongruent;04;300;N;bottom;semantic;salient;correct;12;520,5
incongruent;38;200;N;bottom;semantic;salient;correct;12;397,6
congruent;23;300;Z;left;semantic;control;correct;11;431,9
congruent;47;200;N;top;semantic;control;correct;12;493,9
incongruent;02;300;Z;top;semantic;salient;correct;11;447,3
congruent;05;300;N;bottom;semantic;control;correct;12;453,2
congruent;06;200;N;left;semantic;control;correct;12;501,9
incongruent;19;300;N;right;semantic;salient;correct;12;419,7
congruent;36;300;N;right;semantic;control;correct;12;381,1
congruent;24;300;N;top;semantic;control;correct;12;524,5
incongruent;30;300;N;left;semantic;salient;correct;12;452,8
congruent;22;200;Z;left;semantic;control;correct;11;540,1
incongruent;28;300;N;top;semantic;salient;correct;12;433,1
congruent;13;300;N;left;semantic;control;correct;12;458,5
congruent;38;200;N;right;semantic;control;correct;12;414,1
congruent;47;100;N;right;semantic;control;correct;12;356,8
incongruent;17;100;Z;left;semantic;salient;incorrect;2;451,5
congruent;29;200;Z;top;semantic;control;incorrect;2;671,7
congruent;12;100;N;top;semantic;control;correct;12;488
congruent;35;200;N;bottom;semantic;control;correct;12;420
incongruent;33;200;N;left;semantic;salient;correct;12;449
congruent;37;300;Z;top;semantic;control;correct;11;508,6
congruent;42;300;N;bottom;semantic;control;correct;12;466,5
incongruent;12;300;Z;left;semantic;salient;correct;11;492,1
congruent;15;200;Z;bottom;semantic;control;correct;11;582,9
congruent;38;100;N;bottom;semantic;control;correct;12;548,5
congruent;08;200;N;right;semantic;control;correct;12;474,6
congruent;46;200;Z;bottom;semantic;control;correct;11;446,8
incongruent;09;100;N;top;semantic;salient;correct;12;506,1
incongruent;25;200;Z;left;semantic;salient;correct;11;447,3
incongruent;48;300;Z;right;semantic;salient;correct;11;519
incongruent;45;300;Z;bottom;semantic;salient;correct;11;434,6
incongruent;01;300;N;right;semantic;salient;correct;12;427
incongruent;20;200;N;right;semantic;salient;correct;12;379,2
congruent;14;300;N;left;semantic;control;correct;12;453,8
incongruent;05;200;N;top;semantic;salient;correct;12;503,9
incongruent;18;300;Z;left;semantic;salient;correct;11;370,3
congruent;50;200;N;bottom;semantic;control;correct;12;490,7
incongruent;15;100;Z;top;semantic;salient;correct;11;523,7
congruent;42;200;Z;left;semantic;control;correct;11;408,2
incongruent;16;100;N;bottom;semantic;salient;correct;12;466,5
incongruent;38;100;N;right;semantic;salient;incorrect;1;590,3
incongruent;21;200;Z;right;semantic;salient;correct;11;448,8
congruent;21;100;Z;left;semantic;control;correct;11;450,7
congruent;17;300;Z;left;semantic;control;correct;11;358,6
congruent;15;100;N;left;semantic;control;correct;12;463,3
congruent;41;200;Z;right;semantic;control;correct;11;455,7
incongruent;21;100;Z;bottom;semantic;salient;correct;11;503,9
incongruent;42;300;Z;right;semantic;salient;correct;11;462,4
congruent;43;200;N;top;semantic;control;correct;12;528
incongruent;11;100;Z;right;semantic;salient;correct;11;518,4
incongruent;37;200;Z;top;semantic;salient;correct;11;490,3
incongruent;35;300;Z;bottom;semantic;salient;correct;11;495,5
incongruent;14;200;N;bottom;semantic;salient;incorrect;1;811,4
incongruent;10;100;N;left;semantic;salient;correct;12;543
incongruent;45;100;N;top;semantic;salient;correct;12;548,5
incongruent;31;100;Z;right;semantic;salient;correct;11;472,9
incongruent;35;100;Z;top;semantic;salient;correct;11;482,8
congruent;26;200;Z;top;semantic;control;correct;11;579,1
incongruent;50;200;N;right;semantic;salient;correct;12;450,3
incongruent;24;100;N;right;semantic;salient;correct;12;547,3
congruent;43;300;Z;right;semantic;control;correct;11;455,3
congruent;27;100;Z;top;semantic;control;correct;11;394,6
congruent;24;200;N;left;semantic;control;correct;12;493,8
congruent;30;200;N;bottom;semantic;control;correct;12;688,7
